age	credit	debt	savings	result
42.0	670.0	11.243	4.712	Denied
53.0	670.0	11.979	4.457	Denied
33.0	723.0	11.023	13.291	Denied
25.0	669.0	11.903	7.195	Loan Approved
29.0	735.0	6.989	7.919	Loan Approved
26.0	642.0	5.868	12.064	Loan Approved
50.0	621.0	6.616	3.656	Loan Approved
36.0	790.0	3.058	3.292	Loan Approved
54.0	698.0	10.025	7.221	Loan Approved
30.0	758.0	7.541	12.228	Loan Approved
24.0	733.0	6.471	5.001	Loan Approved
47.0	676.0	7.143	11.984	Loan Approved
30.0	731.0	2.607	4.048	Loan Approved
57.0	734.0	4.388	9.413	Loan Approved
31.0	654.0	15.323	12.224	Denied
30.0	672.0	6.233	0.0	Loan Approved
35.0	745.0	8.315	9.693	Loan Approved
26.0	688.0	10.685	8.307	Denied
33.0	749.0	11.063	1.775	Denied
49.0	642.0	13.227	3.219	Denied
24.0	678.0	8.326	7.208	Loan Approved
38.0	735.0	0.0	6.218	Loan Approved
33.0	832.0	7.335	4.139	Denied
32.0	731.0	9.047	4.904	Denied
50.0	725.0	5.294	17.493	Loan Approved
56.0	664.0	0.0	7.38	Loan Approved
30.0	673.0	5.355	5.835	Loan Approved
26.0	706.0	14.345	7.288	Denied
36.0	765.0	4.582	6.822	Loan Approved
40.0	641.0	3.787	7.332	Loan Approved
39.0	680.0	3.528	2.868	Loan Approved
59.0	684.0	7.864	10.866	Loan Approved
32.0	611.0	14.617	3.115	Denied
41.0	673.0	10.469	9.316	Loan Approved
57.0	663.0	5.827	4.699	Loan Approved
38.0	733.0	5.811	11.761	Loan Approved
31.0	782.0	4.141	5.381	Denied
59.0	723.0	1.977	7.795	Loan Approved
57.0	699.0	4.163	17.169	Loan Approved
38.0	733.0	8.654	12.571	Loan Approved
51.0	674.0	5.55	3.079	Loan Approved
35.0	744.0	6.332	16.717	Loan Approved
53.0	693.0	9.938	7.316	Denied
33.0	618.0	9.938	3.296	Loan Approved
27.0	736.0	4.241	6.17	Loan Approved
30.0	734.0	7.117	11.78	Loan Approved
49.0	632.0	10.947	0.0	Loan Approved
35.0	749.0	0.0	6.782	Denied
49.0	759.0	11.211	4.392	Denied
56.0	636.0	4.708	11.113	Denied
38.0	665.0	4.622	11.484	Loan Approved
49.0	655.0	5.728	8.01	Loan Approved
59.0	622.0	6.317	2.372	Loan Approved
33.0	755.0	4.713	5.322	Loan Approved
34.0	761.0	4.358	12.087	Loan Approved
47.0	683.0	4.541	4.256	Loan Approved
36.0	701.0	4.607	0.0	Denied
29.0	770.0	5.027	11.651	Loan Approved
51.0	667.0	8.168	11.431	Loan Approved
37.0	655.0	7.033	4.707	Loan Approved
49.0	663.0	14.831	5.19	Denied
44.0	752.0	6.027	11.587	Loan Approved
50.0	674.0	9.561	0.0	Loan Approved
32.0	618.0	6.693	4.045	Loan Approved
47.0	690.0	7.304	4.395	Loan Approved
25.0	647.0	7.0	4.106	Loan Approved
58.0	589.0	16.393	2.399	Denied
36.0	725.0	6.453	9.765	Loan Approved
50.0	650.0	15.541	6.6	Denied
39.0	783.0	8.389	8.072	Loan Approved
40.0	682.0	6.872	0.0	Denied
58.0	648.0	7.239	6.774	Loan Approved
53.0	699.0	8.406	4.926	Loan Approved
31.0	787.0	4.835	11.293	Loan Approved
41.0	681.0	16.808	3.85	Denied
48.0	738.0	6.827	7.264	Loan Approved
